ID,X,Y,Z
467,0.1771,-0.4806,1.7241
468,0.1698,-0.4859,1.7369
469,0.2276,-0.4369,1.7502
470,0.1971,-0.5097,1.8384
471,0.2581,-0.5227,1.5896
472,0.2354,-0.6216,1.5845
473,0.3258,-0.4638,1.9352
474,0.278,-0.3886,1.9027
475,0.3437,-0.4028,1.8162
476,0.0478,-0.2623,1.744
477,-0.5459,-0.2313,1.8237
478,0.1997,-0.5098,1.9006
479,0.3015,-0.459,1.9533
480,0.1562,-0.5599,1.8271
481,0.2296,-0.4891,1.9991
482,0.1236,-0.4923,1.9144
483,-0.3475,1,2.0338
484,0.3364,-0.4466,2.0017
485,0.2844,-0.5067,1.8183
486,0.1115,-0.5661,1.8613
487,0.2888,-0.538,1.8014
488,0.3505,-0.4948,1.9523
489,0.283,-0.4257,1.789
490,0.4014,-0.3593,1.8548
491,0.2796,-0.4818,1.6164
492,0.2283,-0.5507,1.6025
493,0.1937,-0.5105,1.7889
494,0.1929,-0.5095,1.8993
495,0.1754,-0.5295,1.8151
496,0.2853,-0.3899,1.9831
497,0.1787,-0.5145,1.9303
498,0.4246,-0.5784,2.0589
499,0.2638,-0.5464,2.1403
